,post_id,text,post_text,shared_text,original_text,time,timestamp,image,image_lowquality,images,images_description,images_lowquality,images_lowquality_description,video,video_duration_seconds,video_height,video_id,video_quality,video_size_MB,video_thumbnail,video_watches,video_width,likes,comments,shares,post_url,link,links,user_id,username,user_url,is_live,factcheck,shared_post_id,shared_time,shared_user_id,shared_username,shared_post_url,available,comments_full,reactors,w3_fb_url,reactions,reaction_count,with,page_id,sharers,was_live,fetched_time
12,758817266281585,Now this is what you call team work!,Now this is what you call team work!,,,2023-11-07 15:00:25,1699387225,,,,,,,https://video-lga3-2.xx.fbcdn.net/v/t42.1790-2/398267857_6691563980965202_7279571163654855970_n.mp4?_nc_cat=109&ccb=1-7&_nc_sid=55d0d3&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=JankxVpx43UAX-orU6U&_nc_rml=0&_nc_ht=video-lga3-2.xx&oh=00_AfDLtVF2-U_3fH_mRS3SPHAD2TGt2qOnxl9-yQ1S6TN1Sg&oe=654F4C65,,,301395209433782,,,https://scontent-lga3-2.xx.fbcdn.net/v/t15.5256-10/367418806_324169403558663_1299212726704999415_n.jpg?stp=cp0_dst-jpg_e15_p320x320_q65&_nc_cat=101&ccb=1-7&_nc_sid=f3b36a&efg=eyJpIjoidCJ9&_nc_ohc=H108wAa_UvUAX8gxyNd&_nc_ht=scontent-lga3-2.xx&oh=00_AfCvLLmJUO31Q7sThjblLNNBd7PhswTsUwnUi1XIDEY2Sw&oe=65502073,,,9,4,1,https://facebook.com/news.com.au/posts/758817266281585,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/758817266281585,"{'like': 9, 'love': 4, 'haha': 11}",24,,111416688885713,,False,2023-11-07 18:43:13.844217
13,759254166237895,"JUST IN

NEWS.COM.AU
Major Optus outage across Australia",JUST IN,"NEWS.COM.AU
Major Optus outage across Australia",,2023-11-07 14:55:37,1699386937,,,,,,,,,,,,,,,,6,20,12,https://facebook.com/news.com.au/posts/759254166237895,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759254166237895,"{'like': 6, 'haha': 4, 'wow': 2, 'angry': 3}",15,,111416688885713,,False,2023-11-07 18:43:15.537976
14,759241526239159,"Congratulations to the gorgeous couple.

NEWS.COM.AU
Channel 7’s Abbey Holmes wows in wedding to ex-AFL player Keegan Brooksby",Congratulations to the gorgeous couple.,"NEWS.COM.AU
Channel 7’s Abbey Holmes wows in wedding to ex-AFL player Keegan Brooksby",,2023-11-07 14:40:02,1699386002,,,,,,,,,,,,,,,,41,5,0,https://facebook.com/news.com.au/posts/759241526239159,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759241526239159,"{'like': 41, 'love': 4, 'haha': 3, 'wow': 1}",49,,111416688885713,,False,2023-11-07 18:43:17.133157
15,759230646240247,"It's the bet dreams are made of.

NEWS.COM.AU
Western Australian punter wins staggering amount from $2 Melbourne Cup bet",It's the bet dreams are made of.,"NEWS.COM.AU
Western Australian punter wins staggering amount from $2 Melbourne Cup bet",,2023-11-07 14:20:01,1699384801,,,,,,,,,,,,,,,,73,4,0,https://facebook.com/news.com.au/posts/759230646240247,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759230646240247,"{'like': 73, 'love': 8, 'angry': 1}",82,,111416688885713,,False,2023-11-07 18:43:18.680584
16,759220422907936,"A heartbroken husband has issued a horrifying warning.

NEWS.COM.AU
Aussie mum tragically dies after taking popular weight loss drug Ozempic",A heartbroken husband has issued a horrifying warning.,"NEWS.COM.AU
Aussie mum tragically dies after taking popular weight loss drug Ozempic",,2023-11-07 14:00:14,1699383614,,,,,,,,,,,,,,,,3,37,2,https://facebook.com/news.com.au/posts/759220422907936,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759220422907936,"{'like': 3, 'haha': 1, 'sad': 5}",9,,111416688885713,,False,2023-11-07 18:43:20.107035
17,759209216242390,"The reptile was found with its mouth taped in a sock inside a backpack.

NEWS.COM.AU
Attempt to smuggle Komodo dragon from Labuan Bajo to Bali in sock",The reptile was found with its mouth taped in a sock inside a backpack.,"NEWS.COM.AU
Attempt to smuggle Komodo dragon from Labuan Bajo to Bali in sock",,2023-11-07 13:40:01,1699382401,,,,,,,,,,,,,,,,2,4,1,https://facebook.com/news.com.au/posts/759209216242390,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759209216242390,"{'like': 2, 'haha': 2, 'angry': 6}",10,,111416688885713,,False,2023-11-07 18:43:21.366891
18,759193186243993,"Maxi, we forgive you for the golf cart.

NEWS.COM.AU
‘Greatest ODI innings ever’: Glenn Maxwell’s double century saves Aussies from 7/91","Maxi, we forgive you for the golf cart.","NEWS.COM.AU
‘Greatest ODI innings ever’: Glenn Maxwell’s double century saves Aussies from 7/91",,2023-11-07 13:13:50,1699380830,,,,,,,,,,,,,,,,678,111,30,https://facebook.com/news.com.au/posts/759193186243993,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759193186243993,"{'like': 678, 'love': 164, 'haha': 7, 'wow': 26, 'care': 3}",878,,111416688885713,,False,2023-11-07 18:43:24.191592
19,759185379578107,"Australia really let its hair down on Melbourne Cup Day.

NEWS.COM.AU
Melbourne Cup gets wild as Australia gets messy",Australia really let its hair down on Melbourne Cup Day.,"NEWS.COM.AU
Melbourne Cup gets wild as Australia gets messy",,2023-11-07 13:00:02,1699380002,,,,,,,,,,,,,,,,12,71,0,https://facebook.com/news.com.au/posts/759185379578107,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759185379578107,"{'like': 12, 'haha': 7, 'wow': 1, 'angry': 7}",27,,111416688885713,,False,2023-11-07 18:43:26.077099
20,759072742922704,"Fans are accusing her of yet another photoshop fail.

NEWS.COM.AU
Khloe Kardashian called out for bizarre Photoshop fail",Fans are accusing her of yet another photoshop fail.,"NEWS.COM.AU
Khloe Kardashian called out for bizarre Photoshop fail",,2023-11-07 10:00:07,1699369207,,,,,,,,,,,,,,,,12,8,0,https://facebook.com/news.com.au/posts/759072742922704,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759072742922704,"{'like': 12, 'haha': 5}",17,,111416688885713,,False,2023-11-07 18:43:28.391976
21,759059582924020,"“It can really scar and damage somebody. On a subconscious level, that comment never really left me.”

NEWS.COM.AU
Kate DeAraugo reveals truth behind Kyle Sandilands’ infamous Australian Idol comment","“It can really scar and damage somebody. On a subconscious level, that comment never really left me.”","NEWS.COM.AU
Kate DeAraugo reveals truth behind Kyle Sandilands’ infamous Australian Idol comment",,2023-11-07 09:40:01,1699368001,,,,,,,,,,,,,,,,47,54,1,https://facebook.com/news.com.au/posts/759059582924020,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759059582924020,"{'like': 47, 'love': 5, 'haha': 12, 'sad': 2}",66,,111416688885713,,False,2023-11-07 18:43:37.096396
22,759052099591435,"The hollywood star has reveals some shocking truths in her new tell-all memoir. 👀

NEWS.COM.AU
Barbra Streisand reveals actor’s X-rated confession",The hollywood star has reveals some shocking truths in her new tell-all memoir. 👀,"NEWS.COM.AU
Barbra Streisand reveals actor’s X-rated confession",,2023-11-07 09:20:02,1699366802,,,,,,,,,,,,,,,,14,6,0,https://facebook.com/news.com.au/posts/759052099591435,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759052099591435,"{'like': 14, 'love': 2, 'haha': 9}",25,,111416688885713,,False,2023-11-07 18:43:38.596592
23,759041619592483,"“Times have changed.” 😲

NEWS.COM.AU
Big change coming to The Simpsons after 35 seasons",“Times have changed.” 😲,"NEWS.COM.AU
Big change coming to The Simpsons after 35 seasons",,2023-11-07 09:00:02,1699365602,,,,,,,,,,,,,,,,41,98,9,https://facebook.com/news.com.au/posts/759041619592483,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759041619592483,"{'like': 41, 'love': 1, 'haha': 32, 'wow': 2, 'sad': 2, 'angry': 19}",97,,111416688885713,,False,2023-11-07 18:43:40.335416
24,759033396259972,"“Oh my heart bleeds."" 🤭

NEWS.COM.AU
‘Privileged’ Sydney mum-of-three house rant backfires","“Oh my heart bleeds."" 🤭","NEWS.COM.AU
‘Privileged’ Sydney mum-of-three house rant backfires",,2023-11-07 08:40:02,1699364402,,,,,,,,,,,,,,,,6,18,0,https://facebook.com/news.com.au/posts/759033396259972,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759033396259972,"{'like': 6, 'love': 1, 'haha': 7, 'care': 1}",15,,111416688885713,,False,2023-11-07 18:43:42.761835
25,759025312927447,"What a cutie! 😍

NEWS.COM.AU
Katy Perry and Orlando Bloom’s daughter, Daisy, steals the show in first public appearance",What a cutie! 😍,"NEWS.COM.AU
Katy Perry and Orlando Bloom’s daughter, Daisy, steals the show in first public appearance",,2023-11-07 08:20:02,1699363202,,,,,,,,,,,,,,,,76,9,0,https://facebook.com/news.com.au/posts/759025312927447,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759025312927447,"{'like': 76, 'love': 27, 'haha': 2, 'care': 1}",106,,111416688885713,,False,2023-11-07 18:43:44.144558
26,759016739594971,"A simple equation has exposed the grim reality facing millions of Aussies.

NEWS.COM.AU
One calculation has revealed the reason so many Aussies can’t buy a home",A simple equation has exposed the grim reality facing millions of Aussies.,"NEWS.COM.AU
One calculation has revealed the reason so many Aussies can’t buy a home",,2023-11-07 08:00:01,1699362001,,,,,,,,,,,,,,,,10,6,0,https://facebook.com/news.com.au/posts/759016739594971,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759016739594971,"{'like': 10, 'haha': 1}",11,,111416688885713,,False,2023-11-07 18:43:45.848227
27,759007946262517,"She looks stunning! 😍

NEWS.COM.AU
Margot Robbie mobbed by fans as she steps out in Perth",She looks stunning! 😍,"NEWS.COM.AU
Margot Robbie mobbed by fans as she steps out in Perth",,2023-11-07 07:40:02,1699360802,,,,,,,,,,,,,,,,40,3,0,https://facebook.com/news.com.au/posts/759007946262517,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/759007946262517,"{'like': 40, 'love': 3, 'haha': 3, 'care': 2, 'angry': 1}",49,,111416688885713,,False,2023-11-07 18:43:52.656423
28,758999666263345,"“Mate, are you in Thor 2 The Movie?”

NEWS.COM.AU
Shannon Noll displays ripped sixpack amid body transformation","“Mate, are you in Thor 2 The Movie?”","NEWS.COM.AU
Shannon Noll displays ripped sixpack amid body transformation",,2023-11-07 07:20:02,1699359602,,,,,,,,,,,,,,,,18,14,0,https://facebook.com/news.com.au/posts/758999666263345,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/758999666263345,"{'like': 18, 'haha': 8}",26,,111416688885713,,False,2023-11-07 18:43:54.133716
29,758991549597490,"The Project star Sarah Harris took a moment to apologise to Channel 10 bosses.

NEWS.COM.AU
The Project star apologies to Channel 10 over X-rated search",The Project star Sarah Harris took a moment to apologise to Channel 10 bosses.,"NEWS.COM.AU
The Project star apologies to Channel 10 over X-rated search",,2023-11-07 07:00:02,1699358402,,,,,,,,,,,,,,,,12,15,0,https://facebook.com/news.com.au/posts/758991549597490,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/758991549597490,"{'like': 12, 'haha': 17, 'care': 1, 'angry': 1}",31,,111416688885713,,False,2023-11-07 18:43:56.495416
30,758984219598223,"“We wanted to get her one that would last forever - that's why we like investing in these bags,” mum Christi defends in the video.

KIDSPOT.COM.AU
I got my 4yo a Louis Vuitton bag - some say she‘s a spoiled brat but it’s an investment","“We wanted to get her one that would last forever - that's why we like investing in these bags,” mum Christi defends in the video.","KIDSPOT.COM.AU
I got my 4yo a Louis Vuitton bag - some say she‘s a spoiled brat but it’s an investment",,2023-11-07 06:40:02,1699357202,,,,,,,,,,,,,,,,42,136,2,https://facebook.com/news.com.au/posts/758984219598223,,,100064599553095,,,False,,,,,,,True,[],[],https://www.facebook.com/news.com.au/posts/758984219598223,"{'like': 42, 'love': 1, 'haha': 99, 'wow': 5, 'angry': 1}",148,,111416688885713,,False,2023-11-07 18:43:59.326751
